CrashID,CrashMasterFile,Lat,Long,rtunique,CurvePresent,GradePresent,BadVisibility,BadWeather,WetRdway,VOSh,Congestion,Speed,Sphr,P_N,VehicleDefect,WorkZone,Animal/Debris,SlipperySurf/WaterPooling,Impaired,Dstracted,Inattention,DrivingTooFast,RightOfWay,ImproperManeuver,FollowTooClose
10578,72267784,37.13538,-85.97808,005-I-0065-000,0,0,1,0,0,0,0,70.07,No,No,0,0,1,0,0,0,0,0,0,0,0
10579,72267785,37.08843,-86.06203,005-I-0065-010,0,0,1,0,0,0,0,65.35,No,No,0,0,1,0,0,0,0,0,0,0,0
10580,72267794,38.48479,-84.58374,041-I-0075-010,0,1,1,1,1,0,0,70.21,No,No,0,0,0,0,0,0,0,0,0,0,0
10581,72267810,36.81005,-87.62165,024-I-0024-000,0,0,0,0,1,0,0,68.51,No,No,0,0,0,0,1,0,0,0,0,0,0
10582,72267818,38.17106,-85.15459,106-I-0064-000,0,0,1,0,0,1,0,70.21,No,No,0,0,1,0,0,0,0,0,0,0,0
10583,72267826,38.33752,-85.51971,093-I-0071-000,0,1,0,0,0,1,1,35.88,No,No,0,0,0,0,0,0,1,0,0,0,0
10584,72267835,37.6054,-84.3142,076-I-0075-000,0,0,1,0,0,0,0,60.73,No,No,0,0,1,0,0,0,0,0,0,0,0
10585,72267851,38.14959,-85.04391,106-I-0064-000,0,0,1,0,0,1,0,70.21,No,No,0,0,1,0,0,0,0,0,0,0,0
10586,72267860,38.23808,-85.6255,056-I-0064-000,1,1,1,0,0,1,0,55.3,No,No,0,0,0,0,0,0,0,0,0,1,0
10588,72267865,37.35239,-87.48643,054-I-0069-010,0,0,0,0,0,0,0,70.21,No,No,1,0,0,0,0,0,0,0,0,0,0
10589,72267873,38.18481,-84.52803,105-I-0075-000,0,0,1,0,0,0,0,69.68,No,No,0,0,0,0,0,1,0,0,0,0,0
10590,72267879,38.32287,-85.55549,056-I-0071-010,0,0,1,0,0,1,0,67.67,No,No,0,0,1,0,0,0,0,0,0,0,0
10592,72267891,36.99458,-88.48751,073-I-0024-000,0,0,1,0,0,0,0,70.21,No,No,0,0,1,0,0,0,0,0,0,0,0
10593,72267897,38.02061,-85.69644,015-I-0065-000,0,0,1,0,0,0,0,63.21,No,No,0,0,0,0,0,0,0,0,0,0,0
10594,72267901,38.03428,-84.26853,025-I-0064-010,0,0,1,0,0,0,0,70.21,No,No,0,0,1,0,0,0,0,0,0,0,0
10595,72267902,37.88443,-84.3402,034-I-0075-010,0,1,1,0,0,1,1,17.32,No,No,0,0,0,0,0,0,0,0,0,1,0
10596,72267904,38.38946,-85.4026,093-I-0071-010,0,0,1,0,0,0,0,62.12,No,No,0,0,1,0,0,0,0,0,0,0,0
10597,72267906,38.16018,-84.5343,034-I-0075-000,0,1,1,0,0,0,0,70.21,No,No,0,0,1,0,0,0,0,0,0,0,0
10598,72267912,38.15932,-84.65629,120-I-0064-010,0,0,1,0,0,0,0,69.54,No,No,0,0,1,0,0,0,0,0,0,0,0
10600,72267955,38.2314,-85.63084,056-I-0264-010,0,0,0,0,0,1,1,44.56,No,No,0,1,0,0,0,0,1,0,0,0,0
10601,72267956,38.22905,-85.50512,056-I-0265-010,0,0,1,0,0,0,1,33.13,No,No,0,0,0,0,0,0,1,0,0,1,0
10602,72267959,38.38795,-85.40723,093-I-0071-010,0,0,0,1,1,0,0,62.14,No,No,0,0,0,0,0,0,1,0,0,1,0
10603,72267992,38.25412,-85.74247,056-I-0065-000,0,0,0,0,0,0,0,49.71,No,No,0,0,0,0,0,0,0,0,0,0,0
10604,72268010,39.04333,-84.57971,059-I-0075-000,0,0,1,0,0,0,1,7.77,No,No,0,0,0,0,0,0,1,0,0,0,0
10605,72268011,39.04623,-84.57564,059-I-0075-000,0,0,0,0,0,1,1,23.06,No,No,0,0,0,0,0,0,0,0,0,0,1
10606,72268012,37.03209,-88.2795,070-I-0024-010,0,1,1,0,0,0,0,68.38,No,No,0,1,0,0,0,0,0,0,0,0,0
10607,72268014,39.0198,-84.61945,008-I-0075-000,0,0,0,0,0,0,1,32.11,No,No,0,0,0,0,0,0,1,0,0,0,1
